EoverN_Td,mean_energy_eV,mobility_m2_V_s,diffusion_m2_s
0.5,0.004716265256425648,24.789410434875688,0.7436823130462706
0.5518369771526415,0.004716265256425648,24.789410434875688,0.7436823130462706
0.6090480987059299,0.004716265256425648,24.789410434875688,0.7436823130462706
0.6721905234608879,0.004716265256425648,24.789410434875688,0.7436823130462706
0.7418791730746163,0.004716265256425648,24.789410434875688,0.7436823130462706
0.8187927205639952,0.004716265256425648,24.789410434875688,0.7436823130462706
0.9036801996612451,0.004716265256425648,24.789410434875688,0.7436823130462706
0.997368299387514,0.22649934246671954,22.629530708367923,5.125573825775772
1.100769414883753,0.2639190214012347,20.497665394233053,5.40972379185594
1.2148905329030641,0.29930259343170523,18.57336787845155,5.559057174781677
1.3408430384971775,0.3343192034978948,16.828049975754098,5.625940264316878
1.4798535384008906,0.36958928299478844,15.252430022126628,5.6371346758059655
1.6332758065195756,0.4059115956858734,13.818497734549004,5.609088465412413
1.8026039678526102,0.44358617975835246,12.51721288905588,5.5524626466783085
1.9894870492462835,0.48274278828038225,11.341924380571252,5.475232199942213
2.195745038680795,0.5237397824064732,10.277746917435305,5.382864934166368
2.4233866094870398,0.56686975213892,9.313240759730284,5.279394481078393
2.6746286821030334,0.6124987000560743,8.436971463339555,5.167634053705672
2.9519180138749825,0.6606778451376797,7.644337957501864,5.050444729266503
3.2579550271584,0.7116605795200294,6.926964651753776,4.92964767838185
3.595720107772687,0.765741046939452,6.277011507139147,4.806565363127717
3.9685026299204993,0.8230264977142973,5.68953321601605,4.682636596406852
4.379932990235273,0.8838683320905226,5.157477154016834,4.558530729915835
4.834017962925126,0.9481585428598187,4.678185043859475,4.435661114414397
5.33517972032434,1.0160159349402096,4.246746670195643,4.314762288573048
5.888298898859717,1.0872898813830785,3.859940306236532,4.196874037713682
6.4987621298359475,1.160906174228847,3.518101038212266,4.084185216821536
7.172514497925463,1.2362157506793037,3.2176629074171466,3.977725566525639
7.916117438237367,1.3118338328021295,2.9570425893066403,3.8791485136892634
8.736812635804442,1.3868520830255144,2.73210935444783,3.789031549269467
9.64259254978265,1.4595603117331997,2.540866260509521,3.7085475512616455
10.642278249173279,1.5298687694394706,2.377200307438094,3.636804509051448
11.745605318082177,1.597363942180818,2.2370029323170844,3.573307822636067
12.963318667116917,1.663014294034243,2.114474625642436,3.5164015268160758
14.307277174256418,1.7267464503880607,2.0069989829627715,3.4655783697634135
15.790569174253296,1.7891436046107922,1.9114747228996933,3.4199027758511726
17.427639921279244,1.850898310242863,1.8253575967418922,3.378551291398542
19.234432266126873,1.9125906399756019,1.7468190584436063,3.3409497809102353
21.22854191797337,1.9748969691393612,1.6743216624889723,3.306612776613848
23.429388802745127,2.037851513508208,1.6073310848398084,3.275502083949593
25.858406186881634,2.10253555249722,1.5443943106147366,3.2471439451419184
28.539249408307846,2.1688470857989417,1.4854459567416347,3.2217051343909153
31.49802624737183,2.2378006415578446,1.4295134708273782,3.1989661621330883
34.76355118124846,2.309690300898045,1.3764062933093821,3.1790722657517096
38.36762599790258,2.385487725364535,1.3255383215034353,3.1620553954467536
42.34534950241132,2.4653378120278973,1.2769935971717878,3.1482206008251294
46.73545933176555,2.550093401740798,1.2304539782379356,3.1377725710502746
51.58070920696339,2.6411554188203348,1.1854602534392593,3.1309847721672273
56.9282852963202,2.739411792644383,1.1419645636266815,3.128311192380928
62.83026574480901,2.8454553684498554,1.1000867720051575,3.1302478111627474
69.34412784462513,2.961355677275374,1.0594436310902837,3.137389411682449
76.5333077861285,3.0886438959721785,1.0200130977159017,3.1504572280718928
84.46781844037974,3.228552455072218,0.9819196695431062,3.1701791597870965
93.2249311896346,3.38493148981007,0.9447033865767421,3.1977562417538303
102.88992844590194,3.559262342496966,0.9086481357022299,3.2341170919850195
113.5569341860762,3.7560656414241125,0.8734766116224378,3.2808354895025924
125.3298305919315,3.9784984547633386,0.8393254500420829,3.3392550060359705
138.32326972180826,4.231993069327759,0.8060738708770575,3.411299034917906
152.66379006630436,4.523244934565313,0.7736224670643216,3.4992839054146136
168.4910488617097,4.858044664812498,0.7421057854105941,3.6051830515404255
185.9591821622478,5.2455786112586305,0.7114335725950954,3.7318807317361467
205.23830591638446,5.698660786817465,0.6814384399880696,3.8832865165900787
226.5161726656534,6.226143808929951,0.6523593326901856,4.061683020426673
250.0,6.845196831064755,0.6240466009550013,4.2717218152939065
