EoverN_Td,xs_zdp_ar_effective,xs_zdp_ar_excitation,xs_zdp_ar_star_deexcitation,xs_zdp_ar_ionization,xs_zdp_ar_star_ionization
0.5,2.2042681853249343e-15,8.755100192807796e-189,0.0,1.0228353426524474e-254,1.3914936199096774e-75
0.5518369771526415,2.2042681853249343e-15,8.755100192807796e-189,0.0,1.0228353426524474e-254,1.3914936199096774e-75
0.6090480987059299,2.2042681853249343e-15,8.755100192807796e-189,0.0,1.0228353426524474e-254,1.3914936199096774e-75
0.6721905234608879,2.2042681853249343e-15,8.755100192807796e-189,0.0,1.0228353426524474e-254,1.3914936199096774e-75
0.7418791730746163,2.2042681853249343e-15,8.755100192807796e-189,0.0,1.0228353426524474e-254,1.3914936199096774e-75
0.8187927205639952,2.2042681853249343e-15,8.755100192807796e-189,0.0,1.0228353426524474e-254,1.3914936199096774e-75
0.9036801996612451,2.2042681853249343e-15,8.755100192807796e-189,0.0,1.0228353426524474e-254,1.3914936199096774e-75
0.997368299387514,2.4146549682690844e-15,2.4478367013939049e-29,0.0,5.5286087576759585e-34,1.1580916346778964e-20
1.100769414883753,2.6657918208544815e-15,6.412387405355297e-28,0.0,5.25896412028094e-32,3.8763665995787763e-20
1.2148905329030641,2.941981718778831e-15,7.758719563188679e-27,0.0,1.705080484468922e-30,9.82497001341455e-20
1.3408430384971775,3.2471087757219346e-15,6.064315348925523e-26,0.0,3.0052192255264406e-29,2.1274175094395223e-19
1.4798535384008906,3.582544465064832e-15,3.5232869798958755e-25,0.0,3.499762482286243e-28,4.13841058422607e-19
1.6332758065195756,3.954301676219206e-15,1.6757587225280187e-24,0.0,3.0796428190983797e-27,7.489674188527767e-19
1.8026039678526102,4.3653894232584135e-15,6.82638577314046e-24,0.0,2.1798690098723184e-26,1.2815972641800579e-18
1.9894870492462835,4.81774581817537e-15,2.4472874069677378e-23,0.0,1.2885464954528496e-25,2.0934414833048626e-18
2.195745038680795,5.316584383087129e-15,7.933352238254797e-23,0.0,6.602643667415888e-25,3.2963422286561365e-18
2.4233866094870398,5.867185243489925e-15,2.3681293640695263e-22,0.0,3.006695038481309e-24,5.036083487209815e-18
2.6746286821030334,6.476554886073966e-15,6.609475729620918e-22,0.0,1.2423148110011039e-23,7.506409219926229e-18
2.9519180138749825,7.148102171612434e-15,1.734172736440016e-21,0.0,4.6904458349785467e-23,1.0934766484398387e-17
3.2579550271584,7.888377016724631e-15,4.313987991998634e-21,0.0,1.6366837723120392e-22,1.5614746003093253e-17
3.595720107772687,8.705178999976481e-15,1.0249977255186113e-20,0.0,5.329770844499312e-22,2.1915573728570134e-17
3.9685026299204993,9.604040732329257e-15,2.333533325207686e-20,0.0,1.6263396280430128e-21,3.0264213074325847e-17
4.379932990235273,1.0594813534365501e-14,5.1207995928593526e-20,0.0,4.68690430708489e-21,4.1212733310261293e-17
4.834017962925126,1.1680279476392554e-14,1.0825357022194998e-19,0.0,1.2745823129492997e-20,5.532830096745202e-17
5.33517972032434,1.2866910366480867e-14,2.2100632778785743e-19,0.0,3.2822247174366875e-20,7.330395051257236e-17
5.888298898859717,1.4156309274076634e-14,4.355828217416327e-19,0.0,8.003078064530017e-20,9.584713038024111e-17
6.4987621298359475,1.5531819058364848e-14,8.226252445382763e-19,0.0,1.8311755848671418e-19,1.2334541695025026e-16
7.172514497925463,1.698204887423107e-14,1.48677612407309e-18,0.0,3.9299067372296156e-19,1.56190411869894e-16
7.916117438237367,1.847876961669695e-14,2.557911155073715e-18,0.0,7.867769946563482e-19,1.9424612873966822e-16
8.736812635804442,2.0000117735258764e-14,4.1891109692409655e-18,0.0,1.4716926669085826e-18,2.372901450114421e-16
9.64259254978265,2.1505464338607472e-14,6.50477684962921e-18,0.0,2.5630899836084077e-18,2.84270160345068e-16
10.642278249173279,2.2986076765843343e-14,9.640199939324815e-18,0.0,4.1966490091141195e-18,3.348212607377733e-16
11.745605318082177,2.4426659422372678e-14,1.3687955812692948e-17,0.0,6.497970138065686e-18,3.8824254932127483e-16
12.963318667116917,2.584212082372779e-14,1.8804278012292166e-17,0.0,9.639593701996995e-18,4.4492031771908e-16
14.307277174256418,2.7225977301639723e-14,2.5075615941574716e-17,0.0,1.3764202220938152e-17,5.044740331622698e-16
15.790569174253296,2.858657145707171e-14,3.263785179585434e-17,0.0,1.9055117046763415e-17,5.67154882928774e-16
