time_s,step_id,self_bias_V,plasma_potential_V,total_absorbed_power_W,electron_density_m3,mean_electron_energy_eV,port_source_rf_absorbed_power_W,port_source_rf_frequency_Hz,port_source_rf_delivered_power_W,port_source_rf_coupling_efficiency,port_source_rf_plasma_resistance_Ohm,port_source_rf_coil_voltage_rms_V,port_source_rf_coil_current_rms_A,port_source_rf_E_over_H_mode_index,port_source_rf_downstream_fraction,port_source_rf_effective_field_Td,port_wafer_bias_absorbed_power_W,port_wafer_bias_frequency_Hz,port_wafer_bias_delivered_power_W,port_wafer_bias_rf_voltage_rms_V,port_wafer_bias_rf_current_rms_A,port_wafer_bias_bulk_resistance_Ohm,port_wafer_bias_sheath_reactance_Ohm,port_wafer_bias_self_bias_V,port_wafer_bias_plasma_potential_V,port_wafer_bias_sheath_voltage_powered_V,port_wafer_bias_sheath_voltage_ground_V,port_wafer_bias_pressure_Pa,port_wafer_bias_gas_temperature_K,ne_source_m3,mean_energy_source_eV,pabs_source_W,Tg_source_K,pressure_source_Pa,total_density_source_m3,electronegativity_source,residence_time_source_s,debye_length_source_m,EoverN_source_Td,ion_loss_family_source,ion_loss_area_source_m2,ion_loss_h_factor_source,ion_loss_characteristic_length_source_m,ambipolar_loss_rate_source_s,warning_high_electronegativity_source,warning_ion_ion_afterglow_source,warning_pressure_deviation_source,warning_debye_ratio_source,ne_process_m3,mean_energy_process_eV,pabs_process_W,Tg_process_K,pressure_process_Pa,total_density_process_m3,electronegativity_process,residence_time_process_s,debye_length_process_m,EoverN_process_Td,ion_loss_family_process,ion_loss_area_process_m2,ion_loss_h_factor_process,ion_loss_characteristic_length_process_m,ambipolar_loss_rate_process_s,warning_high_electronegativity_process,warning_ion_ion_afterglow_process,warning_pressure_deviation_process,warning_debye_ratio_process,ion_flux_wafer_m2_s,mean_ion_energy_wafer_eV,ied_width_wafer_eV,ied_collisionality_wafer,angle_spread_wafer_deg,sheath_voltage_wafer_V,sheath_thickness_wafer_m,ion_flux_wafer_Ar_plus_m2_s,mean_ion_energy_wafer_Ar_plus_eV,ied_width_wafer_Ar_plus_eV,charge_fraction_wafer_Ar_plus,site_fill_wafer,occupied_site_fraction_wafer,free_site_fraction_wafer,warning_site_overfill_wafer,warning_site_depletion_wafer,radical_incident_flux_wafer_m2_s,halogen_atom_flux_wafer_m2_s,carbon_atom_flux_wafer_m2_s,oxygen_atom_flux_wafer_m2_s,radical_to_ion_flux_ratio_wafer,halogen_to_C_radical_flux_ratio_wafer,F_to_C_radical_flux_ratio_wafer,etch_deposition_balance_wafer,net_total_flux_wafer_m2_s,site_fill_grounded_wall,occupied_site_fraction_grounded_wall,free_site_fraction_grounded_wall,warning_site_overfill_grounded_wall,warning_site_depletion_grounded_wall,radical_incident_flux_grounded_wall_m2_s,halogen_atom_flux_grounded_wall_m2_s,carbon_atom_flux_grounded_wall_m2_s,oxygen_atom_flux_grounded_wall_m2_s,radical_to_ion_flux_ratio_grounded_wall,halogen_to_C_radical_flux_ratio_grounded_wall,F_to_C_radical_flux_ratio_grounded_wall,etch_deposition_balance_grounded_wall,net_total_flux_grounded_wall_m2_s,site_fill_source_wall,occupied_site_fraction_source_wall,free_site_fraction_source_wall,warning_site_overfill_source_wall,warning_site_depletion_source_wall,radical_incident_flux_source_wall_m2_s,halogen_atom_flux_source_wall_m2_s,carbon_atom_flux_source_wall_m2_s,oxygen_atom_flux_source_wall_m2_s,radical_to_ion_flux_ratio_source_wall,halogen_to_C_radical_flux_ratio_source_wall,F_to_C_radical_flux_ratio_source_wall,etch_deposition_balance_source_wall,net_total_flux_source_wall_m2_s,film_wafer_m,film_grounded_wall_m,film_source_wall_m
0.0,ignition,0.0,6.710057103013591,90.00300542176797,1000000000000.0,3.0,90.00300542176797,13560000.0,500.0,0.18000601084353593,62.5,75.00125224861581,1.200020035977853,4.0165879057408976e-05,0.3,77.861554281284,0.0,2000000.0,0.0,0.0,0.0,1243.8741942316758,18210.190340684727,-0.0,9.0,0.0,0.0,16.000000004694208,340.0,1000000000000.0,3.0,63.00210379523757,350.0,16.000000004832273,3.3110722369039636e+21,0.0,0.33333333333333337,0.012875965235341126,77.861554281284,bohm,0.18,1.0,0.05555555555555556,0.0,0,0,0,1,1000000000000.0,3.0,27.00090162653039,340.0,16.000000004694208,3.4084567144305504e+21,0.0,1.0,0.012875965235341126,50.6100102828346,bohm,0.4814,1.0,0.06231823847112588,0.0,0,0,0,1,1642001652684139.0,0.0,0.0,41.07754727814589,33.0,0.0,0.040172186143398236,1642001652684139.0,0.0,0.0,1.0,1.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4285714285714287e-05,ignition,0.0,10.301839343676928,279.04417598299625,9621667126592760.0,1.8564627437017611,279.04417598299625,13560000.0,500.0,0.5580883519659925,9.823920969612885,52.35750119980618,5.329593078136228,0.8142964800650584,0.3,68.69427063459268,0.0,2000000.0,0.0,0.0,0.0,19.968390426502527,246.78318927665407,-0.0,8.0,0.0,0.0,15.999991231785797,340.0,2.68457284864444e+16,1.8590257962398584,195.33092318809736,350.0,15.999605452078534,3.3109905873621824e+21,0.0,0.33333333333333337,6.186204597689971e-05,68.69427063459268,bohm,0.18,1.0,0.05555555555555556,0.0,0,0,0,0,3880313339975548.0,1.8505519656703933,83.71325279489888,340.0,15.999991231785797,3.4084548455506405e+21,0.0,1.0,0.00016234406349486906,44.65127591248525,bohm,0.4814,1.0,0.06231823847112588,0.0,0,0,0,0,5.004150952458997e+18,0.0,0.0,0.5230808047923593,15.513453989317702,0.0,0.0005115522316269725,5.004150952458997e+18,0.0,0.0,1.0,1.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.8571428571428574e-05,ignition,0.0,11.495094464441108,341.8470770758478,2.633603109743338e+16,1.7151399910034424,341.8470770758478,13560000.0,500.0,0.6836941541516955,6.93406115793661,48.68663614489913,7.0213739158001545,1.4612801050576367,0.3,67.73323475274626,0.0,2000000.0,0.0,0.0,0.0,12.024554320861043,144.89795612298207,-0.0,8.0,0.0,0.0,15.999974763667396,340.0,7.32418211108813e+16,1.717389629954893,239.29295395309342,350.0,15.999149852058789,3.3108963045761787e+21,0.0,0.33333333333333337,3.5997639141479435e-05,67.73323475274626,bohm,0.18,1.0,0.05555555555555556,0.0,0,0,0,0,1.0700767759617408e+16,1.710007410570974,102.55412312275433,340.0,15.999974763667396,3.408451337371345e+21,0.0,1.0,9.39746452641615e-05,44.02660258928507,bohm,0.4814,1.0,0.06231823847112588,0.0,0,0,0,0,1.3265599987236383e+19,0.0,0.0,0.303428017324793,11.691217864252181,0.0,0.00029674084336378005,1.3265599987236383e+19,0.0,0.0,1.0,1.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.285714285714286e-05,ignition,0.0,11.874542939611084,361.81804945321494,4.006885146575133e+16,1.6598029268793155,361.81804945321494,13560000.0,500.0,0.7236360989064299,6.101373136759605,46.98496490717646,7.700719797663422,1.6670187981312257,0.3,67.307506838949,0.0,2000000.0,0.0,0.0,0.0,9.708191680702877,115.73061499693833,-0.0,8.0,0.0,0.0,15.999950157133329,340.0,1.1102639805357656e+17,1.663182192205319,253.27263461725045,350.0,15.998631057456423,3.310788944175927e+21,0.0,0.33333333333333337,2.8772391164770773e-05,67.307506838949,bohm,0.18,1.0,0.05555555555555556,0.0,0,0,0,0,1.6416335936476242e+16,1.6521847499067905,108.54541483596448,340.0,15.999950157133329,3.408446095477205e+21,0.0,1.0,7.457793557760865e-05,43.74987944531685,bohm,0.4814,1.0,0.06231823847112588,0.0,0,0,0,0,2.0004076092486685e+19,0.0,0.0,0.241031685052519,10.46034970501961,0.0,0.00023572001072312004,2.0004076092486685e+19,0.0,0.0,1.0,1.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.714285714285715e-05,ignition,0.0,12.011682215678338,369.03590608833366,5.060818102500805e+16,1.6258880739510986,369.03590608833366,13560000.0,500.0,0.7380718121766673,5.709950070300322,45.903993267606076,8.039298540694892,1.741377778982267,0.3,66.9813773278963,0.0,2000000.0,0.0,0.0,0.0,8.605555237651206,101.93645098090522,-0.0,8.0,0.0,0.0,15.999919158619337,340.0,1.397545440926525e+17,1.6291134221385788,258.32513426183357,350.0,15.998064123891119,3.3106716218016966e+21,0.0,0.33333333333333337,2.538118298127487e-05,66.9813773278963,bohm,0.18,1.0,0.05555555555555556,0.0,0,0,0,0,2.0892726669126572e+16,1.6186964633231524,110.71077182650009,340.0,15.999919158619337,3.4084394919088855e+21,0.0,1.0,6.543412746858804e-05,43.5378952631326,bohm,0.4814,1.0,0.06231823847112588,0.0,0,0,0,0,2.5199434451814273e+19,0.0,0.0,0.2116038149199083,9.855409610473902,0.0,0.00020694105070881015,2.5199434451814273e+19,0.0,0.0,1.0,1.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.142857142857143e-05,ignition,0.0,12.06973071686011,372.09109036105855,5.8464836249522376e+16,1.6077763543312342,372.09109036105855,13560000.0,500.0,0.7441821807221171,5.490851953112532,45.20063152484476,8.23198875344334,1.7728539005978663,0.3,66.79804968034304,0.0,2000000.0,0.0,0.0,0.0,7.980602296935358,94.20882558630868,-0.0,8.0,0.0,0.0,15.999883262001982,340.0,1.6098027317824074e+17,1.6109649971361581,260.463763252741,350.0,15.997461425772144,3.310546898238674e+21,0.0,0.33333333333333337,2.3516673532512996e-05,66.79804968034304,bohm,0.18,1.0,0.05555555555555556,0.0,0,0,0,0,2.4293023939949576e+16,1.6007330622449503,111.62732710831756,340.0,15.999883262001982,3.4084318449047343e+21,0.0,1.0,6.03445199235671e-05,43.41873229222298,bohm,0.4814,1.0,0.06231823847112588,0.0,0,0,0,0,2.9137614843436995e+19,0.0,0.0,0.19520807402555876,9.511351930830749,0.0,0.0001909070240198342,2.9137614843436995e+19,0.0,0.0,1.0,1.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.571428571428573e-05,ignition,0.0,12.09784816167699,373.57095587773637,6.4240507595089464e+16,1.5970529276086736,373.57095587773637,13560000.0,500.0,0.7471419117554727,5.356824537775514,44.73426050630671,8.35089150127048,1.7881015012117456,0.3,66.68614091411982,0.0,2000000.0,0.0,0.0,0.0,7.592378891485379,89.44121415495074,-0.0,8.0,0.0,0.0,15.999843675392643,340.0,1.76439312645195e+17,1.6002613778406225,261.49966911441544,350.0,15.996832556841538,3.310416758835164e+21,0.0,0.33333333333333337,2.2388085216910625e-05,66.68614091411982,bohm,0.18,1.0,0.05555555555555556,0.0,0,0,0,0,2.684090591172095e+16,1.5900226537989492,112.07128676332091,340.0,15.999843675392643,3.4084234118269617e+21,0.0,1.0,5.721662532083674e-05,43.34599159417788,bohm,0.4814,1.0,0.06231823847112588,0.0,0,0,0,0,3.208571992280168e+19,0.0,0.0,0.1851258613210235,9.297246211794942,0.0,0.00018104740222771944,3.208571992280168e+19,0.0,0.0,1.0,1.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0001,ignition,0.0,12.112984017088747,374.3675798467761,6.845884718672102e+16,1.5902833333530768,374.36757984677615,13560000.0,500.0,0.7487351596935523,5.270380581404794,44.41913577650918,8.428069869039605,1.7963105507684174,0.3,66.61430208398153,0.0,2000000.0,0.0,0.0,0.0,7.337524717539198,86.32500821594029,-0.0,8.0,0.0,0.0,15.999801332927877,340.0,1.8762194043821974e+17,1.5935381502856074,262.0573058927433,350.0,15.996184718660983,3.310282693896852e+21,0.0,0.33333333333333337,2.166499479638597e-05,66.61430208398153,bohm,0.18,1.0,0.05555555555555556,0.0,0,0,0,0,2.8737816102888124e+16,1.5832000408896292,112.31027395403284,340.0,15.999801332927877,3.4084143916733185e+21,0.0,1.0,5.517726675742648e-05,43.299296354587995,bohm,0.4814,1.0,0.06231823847112588,0.0,0,0,0,0,3.4279511161564393e+19,0.0,0.0,0.17854975163989997,9.156545536333692,0.0,0.00017461663119767472,3.4279511161564393e+19,0.0,0.0,1.0,1.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0001142857142857143,ignition,0.0,12.121799663409663,374.83156123208755,7.152944645301705e+16,1.5858267225159826,374.83156123208755,13560000.0,500.0,0.7496631224641751,5.21272516838499,44.20287222726078,8.479801025258299,1.8010928300014837,0.3,66.56662944162247,0.0,2000000.0,0.0,0.0,0.0,7.164187584434041,84.21162489665664,-0.0,8.0,0.0,0.0,15.999756940841355,340.0,1.9568200906004243e+17,1.5891387343239374,262.38209286246126,350.0,15.995523198342648,3.3101457975493814e+21,0.0,0.33333333333333337,2.1184812546399105e-05,66.56662944162247,bohm,0.18,1.0,0.05555555555555556,0.0,0,0,0,0,3.014525891734193e+16,1.5786602984757678,112.44946836962626,340.0,15.999756940841355,3.408404934891735e+21,0.0,1.0,5.3796497652241415e-05,43.26830913705461,bohm,0.4814,1.0,0.06231823847112588,0.0,0,0,0,0,3.5906768727787573e+19,0.0,0.0,0.17409606697344068,9.0607816337631,0.0,0.00017026152535577047,3.5906768727787573e+19,0.0,0.0,1.0,1.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00012857142857142858,ignition,0.0,12.127238827755221,375.11783303974846,7.376195673314973e+16,1.5825480307437014,375.11783303974846,13560000.0,500.0,0.7502356660794969,5.1734120524804315,44.05268571322499,8.515209162994005,1.804044414179917,0.3,66.53427137709353,0.0,2000000.0,0.0,0.0,0.0,7.0432396246182325,82.72677537587833,-0.0,8.0,0.0,0.0,15.99971102872118,340.0,2.0147941853137734e+17,1.5861801335281012,262.58248312782393,350.0,15.994851837591861,3.310006864802994e+21,0.0,0.33333333333333337,2.0858356059514473e-05,66.53427137709353,bohm,0.18,1.0,0.05555555555555556,0.0,0,0,0,0,3.1189469467073856e+16,1.5747270795321655,112.53534991192454,340.0,15.99971102872118,3.408395154299595e+21,0.0,1.0,5.282236261719542e-05,43.247276395110795,bohm,0.4814,1.0,0.06231823847112588,0.0,0,0,0,0,3.710424491187797e+19,0.0,0.0,0.17095580053700699,8.99302796324756,0.0,0.0001671909044166539,3.710424491187797e+19,0.0,0.0,1.0,1.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
