time_s,step_id,self_bias_V,plasma_potential_V,total_absorbed_power_W,electron_density_m3,mean_electron_energy_eV,ne_plasma_m3,mean_energy_plasma_eV,pabs_plasma_W,Tg_plasma_K,pressure_plasma_Pa,total_density_plasma_m3,electronegativity_plasma,residence_time_plasma_s,debye_length_plasma_m,EoverN_plasma_Td,ion_loss_family_plasma,ion_loss_area_plasma_m2,ion_loss_h_factor_plasma,ion_loss_characteristic_length_plasma_m,ambipolar_loss_rate_plasma_s,warning_high_electronegativity_plasma,warning_ion_ion_afterglow_plasma,warning_pressure_deviation_plasma,warning_debye_ratio_plasma
0.0,transient,-0.0,0.0,0.0,1000000.0,3.0000000000000004,1000000.0,3.0000000000000004,0.0,300.0,103548.675,2.5e+25,0.0,inf,12.875965235341129,20.0,disabled,0.0,0.0,0.0,0.0,0,0,0,0
3.768844221105528e-09,transient,-0.0,0.0,0.0,1227280.5252868203,2.4444289126961323,1227280.5252868203,2.4444289126961323,0.0,300.0,103548.675,2.5e+25,0.0,inf,10.491460566712703,20.0,disabled,0.0,0.0,0.0,0.0,0,0,0,0
7.537688442211056e-09,transient,-0.0,0.0,0.0,1506217.2599814185,1.9917445375954659,1506217.2599814185,1.9917445375954659,0.0,300.0,103548.675,2.5e+25,0.0,inf,8.548544474586603,20.0,disabled,0.0,0.0,0.0,0.0,0,0,0,0
1.1306532663316583e-08,transient,-0.0,0.0,0.0,1848550.7938403513,1.6228929223889603,1848550.7938403513,1.6228929223889603,0.0,300.0,103548.675,2.5e+25,0.0,inf,6.965437616453806,20.0,disabled,0.0,0.0,0.0,0.0,0,0,0,0
1.507537688442211e-08,transient,-0.0,0.0,0.0,2268690.0140115716,1.32234901263364,2268690.0140115716,1.32234901263364,0.0,300.0,103548.675,2.5e+25,0.0,inf,5.675506638552804,20.0,disabled,0.0,0.0,0.0,0.0,0,0,0,0
1.884422110552764e-08,transient,-0.0,0.0,0.0,2784318.612517893,1.0774628975694216,2784318.612517893,1.0774628975694216,0.0,300.0,103548.675,2.5e+25,0.0,inf,4.624458270491263,20.0,disabled,0.0,0.0,0.0,0.0,0,0,0,0
2.2613065326633166e-08,transient,-0.0,0.0,0.0,3417139.4452667534,0.8779272979788538,3417139.4452667534,0.8779272979788538,0.0,300.0,103548.675,2.5e+25,0.0,inf,3.768053789310897,20.0,disabled,0.0,0.0,0.0,0.0,0,0,0,0
2.6381909547738694e-08,transient,-0.0,0.0,0.0,4193788.003620411,0.7153437411261995,4193788.003620411,0.7153437411261995,0.0,300.0,103548.675,2.5e+25,0.0,inf,3.070247047353269,20.0,disabled,0.0,0.0,0.0,0.0,0,0,0,0
3.015075376884422e-08,transient,-0.0,0.0,0.0,5146953.496152593,0.5828690704593571,5146953.496152593,0.5828690704593571,0.0,300.0,103548.675,2.5e+25,0.0,inf,2.50166729599676,20.0,disabled,0.0,0.0,0.0,0.0,0,0,0,0
3.391959798994975e-08,transient,-0.0,0.0,0.0,6316754.748044143,0.4749274144178053,6316754.748044143,0.4749274144178053,0.0,300.0,103548.675,2.5e+25,0.0,inf,2.0383829591180365,20.0,disabled,0.0,0.0,0.0,0.0,0,0,0,0
