pressure_Torr,series_id,quantity_id,symbol,value,unit,source_figure,source_panel,digitization_method,note
0.50,0D_LoKI,average_molecular_state_density,O2(Hz),5.000000e+17,m^-3,9b,9b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
0.50,1D_fluid,average_molecular_state_density,O2(Hz),5.500000e+17,m^-3,9b,9b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
0.50,0D_LoKI,average_molecular_state_density,O3,6.000000e+17,m^-3,9b,9b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
0.50,1D_fluid,average_molecular_state_density,O3,7.000000e+17,m^-3,9b,9b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
0.75,0D_LoKI,average_molecular_state_density,O2(Hz),5.500000e+17,m^-3,9b,9b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
0.75,1D_fluid,average_molecular_state_density,O2(Hz),6.000000e+17,m^-3,9b,9b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
0.75,0D_LoKI,average_molecular_state_density,O3,7.500000e+17,m^-3,9b,9b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
0.75,1D_fluid,average_molecular_state_density,O3,8.500000e+17,m^-3,9b,9b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.00,0D_LoKI,average_molecular_state_density,O2(Hz),6.000000e+17,m^-3,9b,9b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.00,1D_fluid,average_molecular_state_density,O2(Hz),6.600000e+17,m^-3,9b,9b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.00,0D_LoKI,average_molecular_state_density,O3,1.100000e+18,m^-3,9b,9b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.00,1D_fluid,average_molecular_state_density,O3,1.300000e+18,m^-3,9b,9b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.50,0D_LoKI,average_molecular_state_density,O2(Hz),7.200000e+17,m^-3,9b,9b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.50,1D_fluid,average_molecular_state_density,O2(Hz),9.000000e+17,m^-3,9b,9b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.50,0D_LoKI,average_molecular_state_density,O3,1.600000e+18,m^-3,9b,9b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.50,1D_fluid,average_molecular_state_density,O3,2.800000e+18,m^-3,9b,9b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
2.00,0D_LoKI,average_molecular_state_density,O2(Hz),9.000000e+17,m^-3,9b,9b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
2.00,1D_fluid,average_molecular_state_density,O2(Hz),1.050000e+18,m^-3,9b,9b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
2.00,0D_LoKI,average_molecular_state_density,O3,2.300000e+18,m^-3,9b,9b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
2.00,1D_fluid,average_molecular_state_density,O3,4.000000e+18,m^-3,9b,9b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
3.00,0D_LoKI,average_molecular_state_density,O2(Hz),1.100000e+18,m^-3,9b,9b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
3.00,1D_fluid,average_molecular_state_density,O2(Hz),1.300000e+18,m^-3,9b,9b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
3.00,0D_LoKI,average_molecular_state_density,O3,3.200000e+18,m^-3,9b,9b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
3.00,1D_fluid,average_molecular_state_density,O3,6.500000e+18,m^-3,9b,9b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
4.00,0D_LoKI,average_molecular_state_density,O2(Hz),1.300000e+18,m^-3,9b,9b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
4.00,1D_fluid,average_molecular_state_density,O2(Hz),1.500000e+18,m^-3,9b,9b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
4.00,0D_LoKI,average_molecular_state_density,O3,4.000000e+18,m^-3,9b,9b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
4.00,1D_fluid,average_molecular_state_density,O3,9.000000e+18,m^-3,9b,9b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
6.00,0D_LoKI,average_molecular_state_density,O2(Hz),1.600000e+18,m^-3,9b,9b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
6.00,1D_fluid,average_molecular_state_density,O2(Hz),1.800000e+18,m^-3,9b,9b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
6.00,0D_LoKI,average_molecular_state_density,O3,5.500000e+18,m^-3,9b,9b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
6.00,1D_fluid,average_molecular_state_density,O3,1.500000e+19,m^-3,9b,9b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
7.50,0D_LoKI,average_molecular_state_density,O2(Hz),1.750000e+18,m^-3,9b,9b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
7.50,1D_fluid,average_molecular_state_density,O2(Hz),2.000000e+18,m^-3,9b,9b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
7.50,0D_LoKI,average_molecular_state_density,O3,6.600000e+18,m^-3,9b,9b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
7.50,1D_fluid,average_molecular_state_density,O3,2.000000e+19,m^-3,9b,9b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
8.00,0D_LoKI,average_molecular_state_density,O2(Hz),1.800000e+18,m^-3,9b,9b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
8.00,1D_fluid,average_molecular_state_density,O2(Hz),2.100000e+18,m^-3,9b,9b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
8.00,0D_LoKI,average_molecular_state_density,O3,7.000000e+18,m^-3,9b,9b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
8.00,1D_fluid,average_molecular_state_density,O3,2.100000e+19,m^-3,9b,9b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.00,0D_LoKI,average_molecular_state_density,O2(Hz),1.900000e+18,m^-3,9b,9b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.00,1D_fluid,average_molecular_state_density,O2(Hz),2.250000e+18,m^-3,9b,9b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.00,0D_LoKI,average_molecular_state_density,O3,8.200000e+18,m^-3,9b,9b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.00,1D_fluid,average_molecular_state_density,O3,2.800000e+19,m^-3,9b,9b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
