pressure_Torr,series_id,quantity_id,symbol,value,unit,source_figure,source_panel,digitization_method,note
0.50,0D_LoKI,average_gas_temperature,"Tg,av",362.000000,K,5a,5a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
0.50,1D_fluid,average_gas_temperature,"Tg,av",353.000000,K,5a,5a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
0.50,0D_LoKI,near_wall_temperature,Tnw,327.000000,K,5a,5a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
0.50,1D_fluid,near_wall_temperature,Tnw,328.000000,K,5a,5a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
0.75,0D_LoKI,average_gas_temperature,"Tg,av",372.000000,K,5a,5a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
0.75,1D_fluid,average_gas_temperature,"Tg,av",359.500000,K,5a,5a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
0.75,0D_LoKI,near_wall_temperature,Tnw,328.000000,K,5a,5a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
0.75,1D_fluid,near_wall_temperature,Tnw,329.000000,K,5a,5a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.00,0D_LoKI,average_gas_temperature,"Tg,av",380.000000,K,5a,5a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.00,1D_fluid,average_gas_temperature,"Tg,av",366.000000,K,5a,5a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.00,0D_LoKI,near_wall_temperature,Tnw,330.000000,K,5a,5a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.00,1D_fluid,near_wall_temperature,Tnw,330.000000,K,5a,5a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.50,0D_LoKI,average_gas_temperature,"Tg,av",396.000000,K,5a,5a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.50,1D_fluid,average_gas_temperature,"Tg,av",379.000000,K,5a,5a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.50,0D_LoKI,near_wall_temperature,Tnw,331.000000,K,5a,5a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.50,1D_fluid,near_wall_temperature,Tnw,332.000000,K,5a,5a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
2.00,0D_LoKI,average_gas_temperature,"Tg,av",410.000000,K,5a,5a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
2.00,1D_fluid,average_gas_temperature,"Tg,av",392.000000,K,5a,5a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
2.00,0D_LoKI,near_wall_temperature,Tnw,333.000000,K,5a,5a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
2.00,1D_fluid,near_wall_temperature,Tnw,334.000000,K,5a,5a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
3.00,0D_LoKI,average_gas_temperature,"Tg,av",434.000000,K,5a,5a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
3.00,1D_fluid,average_gas_temperature,"Tg,av",418.000000,K,5a,5a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
3.00,0D_LoKI,near_wall_temperature,Tnw,335.000000,K,5a,5a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
3.00,1D_fluid,near_wall_temperature,Tnw,339.500000,K,5a,5a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
4.00,0D_LoKI,average_gas_temperature,"Tg,av",454.000000,K,5a,5a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
4.00,1D_fluid,average_gas_temperature,"Tg,av",444.000000,K,5a,5a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
4.00,0D_LoKI,near_wall_temperature,Tnw,338.000000,K,5a,5a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
4.00,1D_fluid,near_wall_temperature,Tnw,345.000000,K,5a,5a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
6.00,0D_LoKI,average_gas_temperature,"Tg,av",486.000000,K,5a,5a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
6.00,1D_fluid,average_gas_temperature,"Tg,av",477.714286,K,5a,5a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
6.00,0D_LoKI,near_wall_temperature,Tnw,342.000000,K,5a,5a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
6.00,1D_fluid,near_wall_temperature,Tnw,351.285714,K,5a,5a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
7.50,0D_LoKI,average_gas_temperature,"Tg,av",507.000000,K,5a,5a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
7.50,1D_fluid,average_gas_temperature,"Tg,av",503.000000,K,5a,5a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
7.50,0D_LoKI,near_wall_temperature,Tnw,345.000000,K,5a,5a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
7.50,1D_fluid,near_wall_temperature,Tnw,356.000000,K,5a,5a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
8.00,0D_LoKI,average_gas_temperature,"Tg,av",515.000000,K,5a,5a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
8.00,1D_fluid,average_gas_temperature,"Tg,av",509.800000,K,5a,5a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
8.00,0D_LoKI,near_wall_temperature,Tnw,346.000000,K,5a,5a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
8.00,1D_fluid,near_wall_temperature,Tnw,357.000000,K,5a,5a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.00,0D_LoKI,average_gas_temperature,"Tg,av",540.000000,K,5a,5a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.00,1D_fluid,average_gas_temperature,"Tg,av",537.000000,K,5a,5a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.00,0D_LoKI,near_wall_temperature,Tnw,350.000000,K,5a,5a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.00,1D_fluid,near_wall_temperature,Tnw,361.000000,K,5a,5a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
