pressure_Torr,series_id,quantity_id,symbol,value,unit,source_figure,source_panel,digitization_method,note
0.50,0D_LoKI,average_molar_fraction_atomic_oxygen,[O]/ng,0.332000,1,6,6,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
0.50,1D_fluid,average_molar_fraction_atomic_oxygen,[O]/ng,0.345000,1,6,6,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
0.50,0D_LoKI,average_molar_fraction_molecular_oxygen,[O2]/ng,0.668000,1,6,6,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
0.50,1D_fluid,average_molar_fraction_molecular_oxygen,[O2]/ng,0.655000,1,6,6,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
0.75,0D_LoKI,average_molar_fraction_atomic_oxygen,[O]/ng,0.310000,1,6,6,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
0.75,1D_fluid,average_molar_fraction_atomic_oxygen,[O]/ng,0.322500,1,6,6,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
0.75,0D_LoKI,average_molar_fraction_molecular_oxygen,[O2]/ng,0.690000,1,6,6,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
0.75,1D_fluid,average_molar_fraction_molecular_oxygen,[O2]/ng,0.677500,1,6,6,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.00,0D_LoKI,average_molar_fraction_atomic_oxygen,[O]/ng,0.293000,1,6,6,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.00,1D_fluid,average_molar_fraction_atomic_oxygen,[O]/ng,0.300000,1,6,6,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.00,0D_LoKI,average_molar_fraction_molecular_oxygen,[O2]/ng,0.705000,1,6,6,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.00,1D_fluid,average_molar_fraction_molecular_oxygen,[O2]/ng,0.700000,1,6,6,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.50,0D_LoKI,average_molar_fraction_atomic_oxygen,[O]/ng,0.240000,1,6,6,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.50,1D_fluid,average_molar_fraction_atomic_oxygen,[O]/ng,0.245000,1,6,6,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.50,0D_LoKI,average_molar_fraction_molecular_oxygen,[O2]/ng,0.755000,1,6,6,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.50,1D_fluid,average_molar_fraction_molecular_oxygen,[O2]/ng,0.750000,1,6,6,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
2.00,0D_LoKI,average_molar_fraction_atomic_oxygen,[O]/ng,0.200000,1,6,6,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
2.00,1D_fluid,average_molar_fraction_atomic_oxygen,[O]/ng,0.190000,1,6,6,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
2.00,0D_LoKI,average_molar_fraction_molecular_oxygen,[O2]/ng,0.802000,1,6,6,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
2.00,1D_fluid,average_molar_fraction_molecular_oxygen,[O2]/ng,0.800000,1,6,6,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
3.00,0D_LoKI,average_molar_fraction_atomic_oxygen,[O]/ng,0.156000,1,6,6,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
3.00,1D_fluid,average_molar_fraction_atomic_oxygen,[O]/ng,0.149000,1,6,6,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
3.00,0D_LoKI,average_molar_fraction_molecular_oxygen,[O2]/ng,0.850000,1,6,6,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
3.00,1D_fluid,average_molar_fraction_molecular_oxygen,[O2]/ng,0.845000,1,6,6,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
4.00,0D_LoKI,average_molar_fraction_atomic_oxygen,[O]/ng,0.132000,1,6,6,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
4.00,1D_fluid,average_molar_fraction_atomic_oxygen,[O]/ng,0.108000,1,6,6,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
4.00,0D_LoKI,average_molar_fraction_molecular_oxygen,[O2]/ng,0.874000,1,6,6,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
4.00,1D_fluid,average_molar_fraction_molecular_oxygen,[O2]/ng,0.890000,1,6,6,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
6.00,0D_LoKI,average_molar_fraction_atomic_oxygen,[O]/ng,0.098000,1,6,6,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
6.00,1D_fluid,average_molar_fraction_atomic_oxygen,[O]/ng,0.083429,1,6,6,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
6.00,0D_LoKI,average_molar_fraction_molecular_oxygen,[O2]/ng,0.900000,1,6,6,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
6.00,1D_fluid,average_molar_fraction_molecular_oxygen,[O2]/ng,0.910000,1,6,6,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
7.50,0D_LoKI,average_molar_fraction_atomic_oxygen,[O]/ng,0.085000,1,6,6,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
7.50,1D_fluid,average_molar_fraction_atomic_oxygen,[O]/ng,0.065000,1,6,6,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
7.50,0D_LoKI,average_molar_fraction_molecular_oxygen,[O2]/ng,0.912000,1,6,6,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
7.50,1D_fluid,average_molar_fraction_molecular_oxygen,[O2]/ng,0.925000,1,6,6,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
8.00,0D_LoKI,average_molar_fraction_atomic_oxygen,[O]/ng,0.082000,1,6,6,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
8.00,1D_fluid,average_molar_fraction_atomic_oxygen,[O]/ng,0.062400,1,6,6,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
8.00,0D_LoKI,average_molar_fraction_molecular_oxygen,[O2]/ng,0.914000,1,6,6,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
8.00,1D_fluid,average_molar_fraction_molecular_oxygen,[O2]/ng,0.929000,1,6,6,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.00,0D_LoKI,average_molar_fraction_atomic_oxygen,[O]/ng,0.072000,1,6,6,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.00,1D_fluid,average_molar_fraction_atomic_oxygen,[O]/ng,0.052000,1,6,6,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.00,0D_LoKI,average_molar_fraction_molecular_oxygen,[O2]/ng,0.921000,1,6,6,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.00,1D_fluid,average_molar_fraction_molecular_oxygen,[O2]/ng,0.945000,1,6,6,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
