energy_eV,sigma_m2
0.0,6.6e-20
0.001,5.557779e-20
0.002,5.090674e-20
0.005,4.480336e-20
0.007,4.063661e-20
0.009,3.844713e-20
0.011,3.762428e-20
0.013,3.549975e-20
0.015,3.236689e-20
0.017,3.245559e-20
0.019,3.090882e-20
0.021,2.916599e-20
0.023,2.743778e-20
0.025,2.592237e-20
0.027,2.487641e-20
0.029,2.299745e-20
0.033,2.1919e-20
0.037,1.999757e-20
0.041,1.805236e-20
0.045,1.707629e-20
0.049,1.529862e-20
0.053,1.469381e-20
0.057,1.308361e-20
0.061,1.2665e-20
0.071,1.079868e-20
0.08,9.352006e-21
0.081,9.206699e-21
0.09,7.832904e-21
0.091,7.703145e-21
0.1,6.346141e-21
0.101,6.237725e-21
0.11,5.335796e-21
0.111,5.242642e-21
0.12,4.60486e-21
0.121,4.502877e-21
0.13,3.646278e-21
0.14,3.012064e-21
0.141,2.952876e-21
0.15,2.485698e-21
0.16,2.161028e-21
0.161,2.124265e-21
0.17,1.847953e-21
0.18,1.65243e-21
0.181,1.637935e-21
0.19,1.49139e-21
0.2,1.394202e-21
0.201,1.382869e-21
0.221,1.281003e-21
0.241,1.295413e-21
0.25,1.339023e-21
0.261,1.448898e-21
0.281,1.69696e-21
0.3,1.93841e-21
0.301,1.956411e-21
0.323,2.322064e-21
0.34,2.577076e-21
0.343,2.622788e-21
0.345,2.644653e-21
0.36,2.855289e-21
0.363,2.894383e-21
0.383,3.143455e-21
0.4,3.288677e-21
0.403,3.333524e-21
0.443,3.830629e-21
0.45,3.895467e-21
0.483,4.337617e-21
0.5,4.490704e-21
0.523,4.82908e-21
0.55,5.195129e-21
0.6,5.76302e-21
0.623,6.072313e-21
0.65,6.455262e-21
0.7,7.15474e-21
0.73,8.067351e-21
0.75,8.309873e-21
0.8,8.972873e-21
0.823,9.303182e-21
0.85,9.653162e-21
0.9,1.028908e-20
0.91,1.045176e-20
0.923,1.060342e-20
0.95,1.100455e-20
1.0,1.15421e-20
1.02,1.193268e-20
1.09,1.286892e-20
1.1,1.300516e-20
1.12,1.336872e-20
1.2,1.436959e-20
1.22,1.482489e-20
1.3,1.58629e-20
1.4,1.724066e-20
1.42,1.757984e-20
1.5,1.868524e-20
1.6,1.994967e-20
1.62,2.020468e-20
1.7,2.105228e-20
1.82,2.250291e-20
1.9,2.337806e-20
2.0,2.450874e-20
2.02,2.476715e-20
2.18,2.688975e-20
2.5,3.091875e-20
2.52,3.120184e-20
2.66,3.2983e-20
2.85,3.579826e-20
3.0,3.782632e-20
3.02,3.806402e-20
3.23,4.112594e-20
3.41,4.365307e-20
3.5,4.503745e-20
3.52,4.536165e-20
4.0,5.311811e-20
4.02,5.338629e-20
4.52,6.195616e-20
4.59,6.313931e-20
4.77,6.634921e-20
5.0,7.025927e-20
5.02,7.06288e-20
5.28,7.552375e-20
5.46,7.902916e-20
6.0,9.044277e-20
6.02,9.047932e-20
6.55,1.012852e-19
7.0,1.100222e-19
7.02,1.100397e-19
7.22,1.142432e-19
7.78,1.248328e-19
8.0,1.287126e-19
8.02,1.286881e-19
9.0,1.457586e-19
9.02,1.456826e-19
9.14,1.476701e-19
10.0,1.576141e-19
11.0,1.630798e-19
12.0,1.664757e-19
13.0,1.606475e-19
14.0,1.507315e-19
15.0,1.369997e-19
16.0,1.235995e-19
17.0,1.096746e-19
18.0,9.77279e-20
19.0,8.768593e-20
20.0,7.815013e-20
25.0,5.127732e-20
30.0,4.028732e-20
35.0,3.375247e-20
40.0,2.917199e-20
50.0,2.394236e-20
60.0,2.221306e-20
70.0,2.0966e-20
80.0,1.963617e-20
90.0,1.845025e-20
100.0,1.746959e-20
110.0,1.692747e-20
120.0,1.663656e-20
121.0,1.654958e-20
125.0,1.628355e-20
132.0,1.578321e-20
140.0,1.527138e-20
144.0,1.499275e-20
150.0,1.461252e-20
160.0,1.390746e-20
169.0,1.322139e-20
180.0,1.260205e-20
196.0,1.192472e-20
200.0,1.180142e-20
220.0,1.077951e-20
225.0,1.039678e-20
250.0,9.303621e-21
256.0,9.102039e-21
289.0,7.790798e-21
300.0,7.408683e-21
324.0,6.737657e-21
400.0,5.279409e-21
500.0,4.261782e-21
576.0,3.515861e-21
600.0,3.347211e-21
700.0,2.797562e-21
784.0,2.419932e-21
800.0,2.345842e-21
900.0,1.988017e-21
1000.0,1.7313e-21
1100.0,1.494052e-21
1160.0,1.368668e-21
1200.0,1.281922e-21
1300.0,1.117619e-21
1400.0,9.972287e-22
1440.0,9.528763e-22
1500.0,8.8661e-22
1600.0,7.984143e-22
1700.0,7.27683e-22
1760.0,6.797737e-22
1800.0,6.617542e-22
1900.0,6.084684e-22
2000.0,5.651834e-22
2200.0,4.942841e-22
2500.0,4.02849e-22
2800.0,3.404456e-22
3200.0,2.777228e-22
3600.0,2.320844e-22
4000.0,1.926003e-22
4500.0,1.611196e-22
5000.0,1.341583e-22
5600.0,1.122241e-22
6300.0,9.205885e-23
7100.0,7.508962e-23
8000.0,6.130057e-23
9000.0,5.017104e-23
10000.0,4.636425e-23
