t,Ar,Ar+,e,T_e,T_n,p,P
0.0,1.6917887319817692e+21,1691788731981.769,1691788731981.769,3.0,342.5,8.0,500.0
4.218679826150027e-12,1.6917887319817351e+21,1691822849923.0461,1691822849923.0461,3.1292515204490923,342.5,8.0,500.0
8.437359652300055e-12,1.6917887319816963e+21,1691861800281.2366,1691861800281.2366,3.2584346964085875,342.5,8.000000000000002,500.0
5.0624157913800334e-11,1.6917887319807822e+21,1692775489523.9482,1692775489523.9482,4.54254387194482,342.5,7.999999999999999,500.0
9.281095617530061e-11,1.6917887319791866e+21,1694371538179.3716,1694371538179.3716,5.814638121072772,342.5,8.0,500.0
1.934472037429422e-10,1.6917887319728802e+21,1700677909932.4246,1700677909932.4246,8.791244899737308,342.5,8.0,500.0
2.9408345131058377e-10,1.6917887319631145e+21,1710443508506.1775,1710443508506.1775,11.666461994820297,342.5,8.0,500.0
3.9471969887822534e-10,1.6917887319502823e+21,1723275748576.0598,1723275748576.0598,14.423942625019691,342.5,8.0,500.0
6.444714482822582e-10,1.691788731908571e+21,1764986792049.9563,1764986792049.9563,20.71680316528794,342.5,7.999999999999999,500.0
8.942231976862911e-10,1.691788731854952e+21,1818606140912.9812,1818606140912.9812,26.189734946669393,342.5,8.000000000000002,500.0
1.143974947090324e-09,1.6917887317919479e+21,1881609698397.323,1881609698397.323,30.857165338297666,342.5,7.999999999999998,500.0
1.610889954349563e-09,1.6917887316529381e+21,2020619886161.525,2020619886161.525,37.59002308721605,342.5,8.0,500.0
2.077804961608802e-09,1.6917887314913455e+21,2182212413673.9604,2182212413673.9604,42.11805523874802,342.5,8.0,500.0
2.544719968868041e-09,1.6917887313095326e+21,2364024879751.8477,2364024879751.8477,44.89998993039814,342.5,7.999999999999998,500.0
3.01163497612728e-09,1.691788731108196e+21,2565361708950.6846,2565361708950.6846,46.339078432840125,342.5,7.999999999999999,500.0
3.872865896410106e-09,1.6917887306861262e+21,2987431663701.364,2987431663701.364,46.54972479899635,342.5,7.999999999999999,500.0
4.734096816692932e-09,1.6917887301990506e+21,3474507340646.8516,3474507340646.8516,44.86296112228084,342.5,8.0,500.0
5.5953277369757584e-09,1.6917887296467176e+21,4026840744576.405,4026840744576.405,42.25526206173746,342.5,8.000000000000002,500.0
6.456558657258585e-09,1.6917887290285155e+21,4645042425877.923,4645042425877.923,39.29460946945475,342.5,8.0,500.0
8.087860096735118e-09,1.6917887276763856e+21,5997172214823.259,5997172214823.259,33.73838965754869,342.5,7.999999999999999,500.0
9.71916153621165e-09,1.6917887260882727e+21,7585285032675.942,7585285032675.942,28.870408643297072,342.5,7.999999999999999,500.0
1.1350462975688183e-08,1.6917887242717348e+21,9401822387639.387,9401822387639.387,24.85213820919293,342.5,7.9999999999999964,500.0
1.2981764415164716e-08,1.6917887222406971e+21,11432860685988.443,11432860685988.443,21.610751245063287,342.5,7.999999999999999,500.0
1.461306585464125e-08,1.6917887200129964e+21,13660561557234.652,13660561557234.652,19.014465811042363,342.5,8.0,500.0
1.7346559391151515e-08,1.6917887158935117e+21,17780046202453.305,17780046202453.305,15.749953606088894,342.5,8.0,500.0
2.008005292766178e-08,1.6917887113660565e+21,22307501470391.844,22307501470391.844,13.443060564444133,342.5,8.0,500.0
2.2813546464172046e-08,1.6917887065112364e+21,27162321469465.555,27162321469465.555,11.767557472709422,342.5,7.999999999999999,500.0
2.554704000068231e-08,1.6917887013962134e+21,32277344219546.91,32277344219546.91,10.515138456837272,342.5,7.999999999999999,500.0
3.030054403976042e-08,1.691788692020871e+21,41652686879771.93,41652686879771.93,8.974769577069114,342.5,8.0,500.0
3.505404807883854e-08,1.6917886822062484e+21,51467309541756.72,51467309541756.72,7.933596182659405,342.5,8.0,500.0
3.980755211791665e-08,1.6917886720781116e+21,61595446697765.59,61595446697765.59,7.188053890424317,342.5,8.000000000000002,500.0
4.4561056156994767e-08,1.691788661712893e+21,71960664966714.3,71960664966714.3,6.628189033981291,342.5,8.0,500.0
5.3212448588809445e-08,1.6917886423790888e+21,91294469419823.11,91294469419823.11,5.897985058415826,342.5,8.000000000000002,500.0
6.186384102062412e-08,1.69178862262659e+21,111046967986460.62,111046967986460.62,5.391279718230032,342.5,8.0,500.0
7.05152334524388e-08,1.691788602583263e+21,131090295411489.66,131090295411489.66,5.016699478912268,342.5,8.000000000000002,500.0
7.916662588425348e-08,1.6917885823231546e+21,151350403759625.62,151350403759625.62,4.726812049166441,342.5,8.000000000000002,500.0
9.838759446826672e-08,1.691788536806535e+21,196867023175999.7,196867023175999.7,4.266310611156981,342.5,8.000000000000002,500.0
1.1760856305227997e-07,1.6917884907651334e+21,242908424402198.47,242908424402198.47,3.951393587634198,342.5,7.999999999999999,500.0
1.368295316362932e-07,1.6917884443890294e+21,289284528323174.7,289284528323174.7,3.7193403044607867,342.5,7.999999999999999,500.0
1.7525206773862927e-07,1.691788351045834e+21,382627723440798.7,382627723440798.7,3.3948153938403625,342.5,7.999999999999998,500.0
2.1367460384096533e-07,1.6917882573212714e+21,476352286003637.25,476352286003637.25,3.1747734295366983,342.5,7.999999999999998,500.0
2.520971399433014e-07,1.6917881634461002e+21,570227456627200.1,570227456627200.1,3.0127237705045893,342.5,7.999999999999996,500.0
2.9051967604563747e-07,1.691788069511232e+21,664162324644730.5,664162324644730.5,2.886701933811006,342.5,7.999999999999994,500.0
3.7406101666846737e-07,1.691787865290635e+21,868382922672175.2,868382922672175.2,2.687125393025781,342.5,7.999999999999999,500.0
4.5760235729129727e-07,1.691787661373189e+21,1072300369647454.5,1072300369647454.5,2.547458672599894,342.5,8.000000000000004,500.0
5.411436979141272e-07,1.691787457885938e+21,1275787621492699.2,1275787621492699.2,2.44217168339272,342.5,8.000000000000007,500.0
6.246850385369571e-07,1.6917872548712156e+21,1478802345722654.0,1478802345722654.0,2.358856496703274,342.5,8.000000000000016,500.0
8.040577945500857e-07,1.691786820596613e+21,1913076950198082.5,1913076950198082.5,2.2254899316832986,342.5,8.000000000000025,500.0
9.834305505632143e-07,1.6917863884611408e+21,2345212423819923.5,2345212423819923.5,2.1297059502952327,342.5,8.000000000000032,500.0
1.1628033065763429e-06,1.6917859583032175e+21,2775370347492293.5,2775370347492293.5,2.0562281755027683,342.5,8.000000000000034,500.0
1.3421760625894714e-06,1.6917855299652262e+21,3203708338937336.5,3203708338937336.5,1.9972689164455382,342.5,8.000000000000034,500.0
1.7112282964444729e-06,1.6917846539690624e+21,4079704502270459.0,4079704502270459.0,1.904913740184455,342.5,8.000000000000032,500.0
2.080280530299474e-06,1.6917837841513765e+21,4949522187989408.0,4949522187989408.0,1.8366671902333438,342.5,8.000000000000032,500.0
2.4493327641544754e-06,1.6917829197402404e+21,5813933324918280.0,5813933324918280.0,1.7833097188052192,342.5,8.000000000000036,500.0
2.8183849980094766e-06,1.6917820601879002e+21,6673485665412530.0,6673485665412530.0,1.7399378852947465,342.5,8.000000000000036,500.0
3.603424420244733e-06,1.69178024606614e+21,8487607425468949.0,8487607425468949.0,1.6686442571453608,342.5,8.000000000000036,500.0
4.388463842479989e-06,1.6917784486672403e+21,1.0285006325524238e+16,1.0285006325524238e+16,1.6157014832883334,342.5,8.000000000000037,500.0
5.173503264715245e-06,1.6917766655698288e+21,1.2068103737084786e+16,1.2068103737084786e+16,1.5740502636240332,342.5,8.000000000000037,500.0
5.958542686950501e-06,1.6917748951034167e+21,1.383857014860446e+16,1.383857014860446e+16,1.5399202346141536,342.5,8.000000000000036,500.0
7.633299533576204e-06,1.6917711558703755e+21,1.7577803189580822e+16,1.7577803189580822e+16,1.483599753871566,342.5,8.000000000000034,500.0
9.308056380201905e-06,1.6917674601147314e+21,2.1273558833123776e+16,2.1273558833123776e+16,1.4414003881808124,342.5,8.000000000000032,500.0
1.0982813226827607e-05,1.6917638014847992e+21,2.4932188765359016e+16,2.4932188765359016e+16,1.4079797426467524,342.5,8.000000000000032,500.0
