id,equation,rate_model,energy_loss_eV,zones,surfaces,notes
G_AR_ION,e + Ar -> Ar_plus + e + e,RM_E_AR_ION,15.76,source|process,,Ground-state argon ionization from the Zenodo/LXCat-derived BOLSIG+ data file
G_AR_EXC_01,e + Ar -> Ar + e,RM_E_AR_EXC_01,11.62,source|process,,Argon excitation represented as an electron-energy-loss channel; no excited-state density is evolved
G_AR_EXC_02,e + Ar -> Ar + e,RM_E_AR_EXC_02,11.83,source|process,,Argon excitation represented as an electron-energy-loss channel; no excited-state density is evolved
G_AR_EXC_03,e + Ar -> Ar + e,RM_E_AR_EXC_03,14.153,source|process,,Argon excitation represented as an electron-energy-loss channel; no excited-state density is evolved
G_AR_EXC_04,e + Ar -> Ar + e,RM_E_AR_EXC_04,14.3,source|process,,Argon excitation represented as an electron-energy-loss channel; no excited-state density is evolved
G_AR_EXC_05,e + Ar -> Ar + e,RM_E_AR_EXC_05,14.09,source|process,,Argon excitation represented as an electron-energy-loss channel; no excited-state density is evolved
G_AR_EXC_06,e + Ar -> Ar + e,RM_E_AR_EXC_06,14.255,source|process,,Argon excitation represented as an electron-energy-loss channel; no excited-state density is evolved
G_AR_EXC_07,e + Ar -> Ar + e,RM_E_AR_EXC_07,15.0,source|process,,Argon excitation represented as an electron-energy-loss channel; no excited-state density is evolved
G_AR_EXC_08,e + Ar -> Ar + e,RM_E_AR_EXC_08,11.55,source|process,,Argon excitation represented as an electron-energy-loss channel; no excited-state density is evolved
G_AR_EXC_09,e + Ar -> Ar + e,RM_E_AR_EXC_09,11.72,source|process,,Argon excitation represented as an electron-energy-loss channel; no excited-state density is evolved
G_AR_EXC_10,e + Ar -> Ar + e,RM_E_AR_EXC_10,12.91,source|process,,Argon excitation represented as an electron-energy-loss channel; no excited-state density is evolved
G_AR_EXC_11,e + Ar -> Ar + e,RM_E_AR_EXC_11,13.08,source|process,,Argon excitation represented as an electron-energy-loss channel; no excited-state density is evolved
G_AR_EXC_12,e + Ar -> Ar + e,RM_E_AR_EXC_12,13.09,source|process,,Argon excitation represented as an electron-energy-loss channel; no excited-state density is evolved
G_AR_EXC_13,e + Ar -> Ar + e,RM_E_AR_EXC_13,13.15,source|process,,Argon excitation represented as an electron-energy-loss channel; no excited-state density is evolved
G_AR_EXC_14,e + Ar -> Ar + e,RM_E_AR_EXC_14,13.17,source|process,,Argon excitation represented as an electron-energy-loss channel; no excited-state density is evolved
G_AR_EXC_15,e + Ar -> Ar + e,RM_E_AR_EXC_15,13.27,source|process,,Argon excitation represented as an electron-energy-loss channel; no excited-state density is evolved
G_AR_EXC_16,e + Ar -> Ar + e,RM_E_AR_EXC_16,13.3,source|process,,Argon excitation represented as an electron-energy-loss channel; no excited-state density is evolved
G_AR_EXC_17,e + Ar -> Ar + e,RM_E_AR_EXC_17,13.33,source|process,,Argon excitation represented as an electron-energy-loss channel; no excited-state density is evolved
G_AR_EXC_18,e + Ar -> Ar + e,RM_E_AR_EXC_18,13.48,source|process,,Argon excitation represented as an electron-energy-loss channel; no excited-state density is evolved
G_AR_EXC_19,e + Ar -> Ar + e,RM_E_AR_EXC_19,13.84,source|process,,Argon excitation represented as an electron-energy-loss channel; no excited-state density is evolved
G_AR_EXC_20,e + Ar -> Ar + e,RM_E_AR_EXC_20,13.84,source|process,,Argon excitation represented as an electron-energy-loss channel; no excited-state density is evolved
G_AR_EXC_21,e + Ar -> Ar + e,RM_E_AR_EXC_21,13.9,source|process,,Argon excitation represented as an electron-energy-loss channel; no excited-state density is evolved
G_AR_EXC_22,e + Ar -> Ar + e,RM_E_AR_EXC_22,13.98,source|process,,Argon excitation represented as an electron-energy-loss channel; no excited-state density is evolved
G_AR_EXC_23,e + Ar -> Ar + e,RM_E_AR_EXC_23,14.01,source|process,,Argon excitation represented as an electron-energy-loss channel; no excited-state density is evolved
G_AR_EXC_24,e + Ar -> Ar + e,RM_E_AR_EXC_24,14.06,source|process,,Argon excitation represented as an electron-energy-loss channel; no excited-state density is evolved
G_AR_EXC_25,e + Ar -> Ar + e,RM_E_AR_EXC_25,14.09,source|process,,Argon excitation represented as an electron-energy-loss channel; no excited-state density is evolved
G_AR_EXC_26,e + Ar -> Ar + e,RM_E_AR_EXC_26,14.21,source|process,,Argon excitation represented as an electron-energy-loss channel; no excited-state density is evolved
G_AR_EXC_27,e + Ar -> Ar + e,RM_E_AR_EXC_27,14.23,source|process,,Argon excitation represented as an electron-energy-loss channel; no excited-state density is evolved
G_AR_EXC_28,e + Ar -> Ar + e,RM_E_AR_EXC_28,14.24,source|process,,Argon excitation represented as an electron-energy-loss channel; no excited-state density is evolved
G_AR_EXC_29,e + Ar -> Ar + e,RM_E_AR_EXC_29,14.07,source|process,,Argon excitation represented as an electron-energy-loss channel; no excited-state density is evolved
G_AR_EXC_30,e + Ar -> Ar + e,RM_E_AR_EXC_30,14.241,source|process,,Argon excitation represented as an electron-energy-loss channel; no excited-state density is evolved
